# Generated by tools/nelisp-emacs-compat.el -- do not edit.
# Regenerate: make emacs-compat-table
# emacs 30.1, 8872 names
#
# nelisp-only       stock Emacs does not have this name
# shared-deferring  both have it; this tree defers via (unless (fboundp ...))
# shared-shadowing  both have it; this tree defines it unconditionally

nelisp-only      nelisp--cli-version
nelisp-only      nelisp--closure-body
nelisp-only      nelisp--closure-env
nelisp-only      nelisp--closure-p
nelisp-only      nelisp--closure-params
nelisp-only      nelisp--closurep
nelisp-only      nelisp--cmp-chain
nelisp-only      nelisp--concat-ints
nelisp-only      nelisp--core-macro-source
nelisp-only      nelisp--current-buffer
nelisp-only      nelisp--delete-directory-recursive
nelisp-only      nelisp--digit-char-p
nelisp-only      nelisp--directory-files-match-p
nelisp-only      nelisp--emit-to-stream
nelisp-only      nelisp--ensure-macro-system
nelisp-only      nelisp--env-globals-capture-lexical
nelisp-only      nelisp--env-globals-clear-function
nelisp-only      nelisp--env-globals-clear-value
nelisp-only      nelisp--env-globals-get-function
nelisp-only      nelisp--env-globals-get-value
nelisp-only      nelisp--env-globals-is-bound
nelisp-only      nelisp--env-globals-is-constant
nelisp-only      nelisp--env-globals-is-fbound
nelisp-only      nelisp--env-globals-set-constant
nelisp-only      nelisp--env-globals-set-function
nelisp-only      nelisp--env-globals-set-value
nelisp-only      nelisp--environment
nelisp-only      nelisp--environment-load
nelisp-only      nelisp--environment-loaded
nelisp-only      nelisp--equal-heapish-p
nelisp-only      nelisp--equal-rec
nelisp-only      nelisp--equal-record-rec
nelisp-only      nelisp--equal-string
nelisp-only      nelisp--equal-vector-rec
nelisp-only      nelisp--error-lookup
nelisp-only      nelisp--error-register
nelisp-only      nelisp--eval-and
nelisp-only      nelisp--eval-body
nelisp-only      nelisp--eval-call
nelisp-only      nelisp--eval-catch
nelisp-only      nelisp--eval-cl-defun
nelisp-only      nelisp--eval-cond
nelisp-only      nelisp--eval-condition-case
nelisp-only      nelisp--eval-defconst
nelisp-only      nelisp--eval-defmacro
nelisp-only      nelisp--eval-defun
nelisp-only      nelisp--eval-defvar
nelisp-only      nelisp--eval-defvar-local
nelisp-only      nelisp--eval-function
nelisp-only      nelisp--eval-if
nelisp-only      nelisp--eval-let
nelisp-only      nelisp--eval-let*
nelisp-only      nelisp--eval-or
nelisp-only      nelisp--eval-prog1
nelisp-only      nelisp--eval-prog2
nelisp-only      nelisp--eval-setq
nelisp-only      nelisp--eval-throw
nelisp-only      nelisp--eval-unless
nelisp-only      nelisp--eval-unwind-protect
nelisp-only      nelisp--eval-when
nelisp-only      nelisp--eval-while
nelisp-only      nelisp--expand-macro
nelisp-only      nelisp--fast-hash--32bit-mask
nelisp-only      nelisp--fast-hash--fnv-offset-basis
nelisp-only      nelisp--fast-hash--fnv-prime
nelisp-only      nelisp--fast-hash--hash
nelisp-only      nelisp--fast-hash-bucket-count
nelisp-only      nelisp--fast-hash-clear
nelisp-only      nelisp--fast-hash-contains-p
nelisp-only      nelisp--fast-hash-count
nelisp-only      nelisp--fast-hash-get
nelisp-only      nelisp--fast-hash-iter
nelisp-only      nelisp--fast-hash-keys
nelisp-only      nelisp--fast-hash-make
nelisp-only      nelisp--fast-hash-p
nelisp-only      nelisp--fast-hash-put
nelisp-only      nelisp--fast-hash-remove
nelisp-only      nelisp--features
nelisp-only      nelisp--format-coerce-int
nelisp-only      nelisp--format-coerce-num
nelisp-only      nelisp--format-float-body
nelisp-only      nelisp--format-int-abs-decimal
nelisp-only      nelisp--format-int-abs-radix
nelisp-only      nelisp--format-int-radix
nelisp-only      nelisp--format-int-with-sign
nelisp-only      nelisp--format-pad
nelisp-only      nelisp--function-of
nelisp-only      nelisp--functions
nelisp-only      nelisp--global-env-capture-lexical
nelisp-only      nelisp--global-env-clear-function
nelisp-only      nelisp--global-env-clear-value
nelisp-only      nelisp--global-env-is-bound
nelisp-only      nelisp--global-env-is-constant
nelisp-only      nelisp--global-env-is-fbound
nelisp-only      nelisp--global-env-lookup-function
nelisp-only      nelisp--global-env-lookup-value
nelisp-only      nelisp--global-env-set-constant
nelisp-only      nelisp--global-env-set-function
nelisp-only      nelisp--global-env-set-value
nelisp-only      nelisp--globals
nelisp-only      nelisp--handler-matches-p
nelisp-only      nelisp--hash-atom
nelisp-only      nelisp--hash-default-size
nelisp-only      nelisp--hash-index
nelisp-only      nelisp--hash-key
nelisp-only      nelisp--hash-mask
nelisp-only      nelisp--hash-pairs
nelisp-only      nelisp--hash-power-of-two-at-least
nelisp-only      nelisp--hash-string
nelisp-only      nelisp--hash-test-equal
nelisp-only      nelisp--install-core-macros
nelisp-only      nelisp--install-primitives
nelisp-only      nelisp--int-eq-zero
nelisp-only      nelisp--int-floor-div
nelisp-only      nelisp--json-escape
nelisp-only      nelisp--lambda-body
nelisp-only      nelisp--lambdap
nelisp-only      nelisp--load-eval-source-incremental
nelisp-only      nelisp--load-skip-space-and-comments
nelisp-only      nelisp--loading
nelisp-only      nelisp--locate-probe
nelisp-only      nelisp--logand2
nelisp-only      nelisp--logior2
nelisp-only      nelisp--logxor2
nelisp-only      nelisp--lookup
nelisp-only      nelisp--macro-function
nelisp-only      nelisp--macro-lookup
nelisp-only      nelisp--macroexpand-all-args
nelisp-only      nelisp--macroexpand-all-map
nelisp-only      nelisp--macroexpand-map
nelisp-only      nelisp--macroexpand-walk-cond
nelisp-only      nelisp--macroexpand-walk-condition-case
nelisp-only      nelisp--macroexpand-walk-defconst
nelisp-only      nelisp--macroexpand-walk-defun
nelisp-only      nelisp--macroexpand-walk-defvar
nelisp-only      nelisp--macroexpand-walk-function
nelisp-only      nelisp--macroexpand-walk-lambda
nelisp-only      nelisp--macroexpand-walk-let
nelisp-only      nelisp--macroexpand-walk-quote
nelisp-only      nelisp--macroexpand-walk-setq
nelisp-only      nelisp--macroexpand-walkers
nelisp-only      nelisp--macrop
nelisp-only      nelisp--macros
nelisp-only      nelisp--make-closure
nelisp-only      nelisp--make-interpreter-closure
nelisp-only      nelisp--make-mut-string
nelisp-only      nelisp--make-record
nelisp-only      nelisp--make-source-pos
nelisp-only      nelisp--map-string
nelisp-only      nelisp--mul2
nelisp-only      nelisp--mul2-float
nelisp-only      nelisp--mut-str-len
nelisp-only      nelisp--mut-str-set-codepoint
nelisp-only      nelisp--native-ceiling
nelisp-only      nelisp--native-equal
nelisp-only      nelisp--native-floor
nelisp-only      nelisp--native-format
nelisp-only      nelisp--native-function-p
nelisp-only      nelisp--native-functionp
nelisp-only      nelisp--native-prin1
nelisp-only      nelisp--native-princ
nelisp-only      nelisp--native-substring
nelisp-only      nelisp--native-terpri
nelisp-only      nelisp--native-truncate
nelisp-only      nelisp--num-eq2
nelisp-only      nelisp--num-eq2-float
nelisp-only      nelisp--num-ge2
nelisp-only      nelisp--num-ge2-float
nelisp-only      nelisp--num-gt2
nelisp-only      nelisp--num-gt2-float
nelisp-only      nelisp--num-le2
nelisp-only      nelisp--num-le2-float
nelisp-only      nelisp--num-lt2
nelisp-only      nelisp--num-lt2-float
